Date;Time;Severity;TID;This;Function;Message
2025/09/16;17:30:00.534;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:00.542;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:00.550;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:00.556;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:00.567;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:00.569;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:00.583;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:00.584;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:00.584;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:00.597;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:00.601;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:00.610;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:00.617;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:00.624;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:00.634;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:00.638;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:00.650;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:00.651;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:00.665;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:00.667;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:00.667;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:00.679;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:00.684;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:00.693;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:00.700;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:00.706;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:00.717;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:00.720;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:00.734;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:00.734;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:00.734;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:00.747;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:00.751;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:00.761;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:00.767;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:00.775;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:00.784;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:00.789;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:00.800;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:00.802;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
